Aéroboxe,
Aérogym,
Aïkido,
Aïkiryu,
Aïkiryu Taïso,
Alpinisme,
Apnée,
Aquagym,
Athlétisme,
Athlétisme (handisport),
Aviron,
Badminton,
Bagua Zhang,
Ballade à  Vélo,
Barre au Sol,
Baseball - Softball,
Basket fauteuil,
Basket-Ball,
Bébés nageurs,
Beach volley,
Billard,
Body Balance,
Body Combat,
Body Fitness,
Boules bretonnes,
Boules lyonnaises,
Bowling,
Boxe anglaise,
Boxe chinoise,
Boxe française,
Boxe thaïlandaise,
Canoé kayak,
Canyoning,
Capoeira,
Combat complet,
Course à  pied,
Course d'orientation,
Cross Fitness,
Crossminton,
Cyclisme,
Cyclotourisme,
Dancehall,
Danse,
Danse africaine,
Danse Bachata,
Danse Balboa,
Danse Brésilienne,
Danse Bretonne,
Danse classique,
Danse contemporaine,
Danse country,
Danse de société / danse de salon,
Danse Hip hop,
Danse indienne,
Danse Kizomba,
Danse Lindy Hop,
Danse Modern' Jazz,
Danse orientale,
Danse Reggaeton,
Danse Rock'n Roll,
Danse Salsa,
Danse sportive,
Danse sur glace,
Danses urbaines,
Disc golf,
Echasses urbaines,
Echecs,
Equitation,
Escalade,
Escrime,
Eveil corporel,
F.A.C. (Fesses - Abdos - Cuisses),
Fitness,
Floorball,
Foot en salle,
Foot fauteuil,
Football,
Football américain,
Football gaà«lique,
Golf,
Grappling,
Gym (Baby Gym),
Gym défense,
Gym douce,
Gym Pilates,
Gym sport santé,
Gym suédoise,
Gym tonic,
Gymnastique acrobatique,
Gymnastique artistique,
Gymnastique d'entretien,
Gymnastique loisir,
Gymnastique rythmique,
Gymnastique volontaire,
Haltérophilie,
Handball,
Handisport et sport adapté,
Hap Ki Do,
Hockey subaquatique,
Hockey sur gazon,
Hockey sur glace,
Iaïdo (voie du sabre),
Jazz Roots Solo,
Jodo (voie du bâton),
Judo,
Jujitsu,
Jujitsu brésilien,
Karaté,
Karting,
Kendo,
Ki-Aïkido,
Kin-Ball,
Kinomichi,
Kobudo,
Krav Maga,
Kudo,
Kung Fu,
Kyudo (tir à  l'arc japonais),
L.I.A. (Low Impact Aerobic),
Lutte bretonne,
Marche athlétique,
Marche fitness,
Marche nordique,
Monocycle sportif,
Motocyclisme,
Multisports Adultes,
Multisports Enfants,
Multisports Seniors,
Musculation,
Nage avec palmes,
Natation,
Natation synchronisée,
Nunchaku,
Parachutisme,
Paracyclisme,
Parkour,
Patinage artistique sur glace,
Patinage synchronisé,
Pétanque,
Pêche en mer,
Pêche sous-marine,
Pentathlon moderne,
Piloxing,
Planche à  voile,
Plongée,
Plongeon,
Qi Gong,
Qwan Ki Do,
Randonnée pédestre,
Relaxation,
Renforcement musculaire,
Rink hockey,
Roller acrobatique,
Roller artistique,
Roller course,
Roller derby,
Roller hockey,
Roller loisir / à‰cole de roller,
Roller randonnée,
Rugby,
Rugby fauteuil,
Sarbacane sportive,
Sauvetage sportif,
Self défense,
Showdown,
Spéléologie,
Squash,
Step,
Street Jazz,
Stretching,
Taï Chi Chuan,
Taïso,
Taekwondo,
TeamGym,
Tennis,
Tennis de table,
Tir,
Tir à  l'arc,
Tir sur cible subaquatique,
Torball,
Trampoline,
Triathlon,
Trottinette freestyle,
Tumbling,
Twirling bâton,
U.L.M.,
Ultimate frisbee,
V.T.T.,
Vô Viêt Nam,
Viet Vo Dao,
Vo Co Truyen,
Voile,
Vol à  voile,
Vol en planeur,
Vol libre,
Vol moteur,
Volley-Ball,
Voltige,
Water polo,
Yoga,
Zumba,